ticker,name
285A.T,キオクシアホールディングス
6976.T,太陽誘電
9984.T,ソフトバンクグループ
8035.T,東京エレクトロン
6981.T,村田製作所
6857.T,アドバンテスト
5803.T,フジクラ
4062.T,イビデン
6920.T,レーザーテック
8306.T,三菱ＵＦＪフィナンシャル・グループ
6146.T,ディスコ
5016.T,ＪＸ金属
9983.T,ファーストリテイリング
3436.T,ＳＵＭＣＯ
6525.T,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ
5801.T,古河電気工業
8316.T,三井住友フィナンシャルグループ
7203.T,トヨタ自動車
6723.T,ルネサスエレクトロニクス
7011.T,三菱重工業
8411.T,みずほフィナンシャルグループ
7974.T,任天堂
7735.T,ＳＣＲＥＥＮホールディングス
6758.T,ソニーグループ
6752.T,パナソニック　ホールディングス
6501.T,日立製作所
5802.T,住友電気工業
5706.T,三井金属
4063.T,信越化学工業
6098.T,リクルートホールディングス
6506.T,安川電機
6762.T,ＴＤＫ
6861.T,キーエンス
7012.T,川崎重工業
8766.T,東京海上ホールディングス
8136.T,サンリオ
4004.T,レゾナック・ホールディングス
6954.T,ファナック
8058.T,三菱商事
7013.T,ＩＨＩ
9432.T,ＮＴＴ
8031.T,三井物産
6367.T,ダイキン工業
2914.T,日本たばこ産業
6503.T,三菱電機
6701.T,日本電気
6963.T,ローム
7741.T,ＨＯＹＡ
7267.T,本田技研工業
6526.T,ソシオネクスト
8001.T,伊藤忠商事
6971.T,京セラ
9433.T,ＫＤＤＩ
8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス
2802.T,味の素
6702.T,富士通
7453.T,良品計画
3110.T,日東紡績
8002.T,丸紅
6871.T,日本マイクロニクス
4502.T,武田薬品工業
5713.T,住友金属鉱山
6273.T,ＳＭＣ
6361.T,荏原製作所
6301.T,小松製作所
7182.T,ゆうちょ銀行
8308.T,りそなホールディングス
8750.T,第一ライフグループ
8591.T,オリックス
8053.T,住友商事
8630.T,ＳＯＭＰＯホールディングス
4519.T,中外製薬
9434.T,ソフトバンク
5401.T,日本製鉄
4568.T,第一三共
7269.T,スズキ
3382.T,セブン＆アイ・ホールディングス
7936.T,アシックス
7751.T,キヤノン
9501.T,東京電力ホールディングス
6479.T,ミネベアミツミ
8309.T,三井住友トラストグループ
8604.T,野村ホールディングス
1605.T,ＩＮＰＥＸ
4661.T,オリエンタルランド
6324.T,ハーモニック・ドライブ・システムズ
6590.T,芝浦メカトロニクス
9101.T,日本郵船
9502.T,中部電力
4503.T,アステラス製薬
8015.T,豊田通商
8801.T,三井不動産
6902.T,デンソー
6323.T,ローツェ
8802.T,三菱地所
4901.T,富士フイルムホールディングス
9104.T,商船三井
6594.T,ニデック
8267.T,イオン
5108.T,ブリヂストン
5333.T,ＮＧＫ
6787.T,メイコー
8473.T,ＳＢＩホールディングス
6315.T,ＴＯＷＡ
6178.T,日本郵政
4578.T,大塚ホールディングス
4307.T,野村総合研究所
6504.T,富士電機
4755.T,楽天グループ
9107.T,川崎汽船
3563.T,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ
2502.T,アサヒグループホールディングス
6532.T,ベイカレント
9022.T,東海旅客鉄道
4452.T,花王
7201.T,日産自動車
6227.T,ＡＩメカテック
8830.T,住友不動産
5332.T,ＴＯＴＯ
6890.T,フェローテック
4911.T,資生堂
1801.T,大成建設
4543.T,テルモ
6988.T,日東電工
9020.T,東日本旅客鉄道
6383.T,ダイフク
1812.T,鹿島建設
1925.T,大和ハウス工業
5334.T,日本特殊陶業
1928.T,積水ハウス
9021.T,西日本旅客鉄道
9766.T,コナミグループ
7729.T,東京精密
8729.T,ソニーフィナンシャルグループ
7003.T,三井Ｅ＆Ｓ
2503.T,キリンホールディングス
8795.T,Ｔ＆Ｄホールディングス
9735.T,セコム
5344.T,ＭＡＲＵＷＡ
4186.T,東京応化工業
9201.T,日本航空
9412.T,スカパーＪＳＡＴ
7270.T,ＳＵＢＡＲＵ
7832.T,バンダイナムコホールディングス
8601.T,大和証券グループ本社
7532.T,パン・パシフィック・インターナショナルホールディングス
3099.T,三越伊勢丹ホールディングス
4980.T,デクセリアルズ
5020.T,ＥＮＥＯＳホールディングス
5411.T,ＪＦＥホールディングス
5201.T,ＡＧＣ
3407.T,旭化成
6965.T,浜松ホトニクス
4385.T,メルカリ
1802.T,大林組
6326.T,クボタ
5631.T,日本製鋼所
9503.T,関西電力
8697.T,日本取引所グループ
7911.T,ＴＯＰＰＡＮホールディングス
6645.T,オムロン
4507.T,塩野義製薬
4684.T,オービック
